Date,Open,High,Low,Close,Adj Close,Volume
2016-01-05,40.930000,40.930000,40.930000,40.930000,37.916439,0
2016-01-06,39.299999,39.299999,39.299999,39.299999,36.406448,0
2016-01-07,38.400002,38.400002,38.400002,38.400002,35.572716,0
2016-01-08,38.150002,38.150002,38.150002,38.150002,35.341122,0
2016-01-11,37.349998,37.349998,37.349998,37.349998,34.600021,0
2016-01-12,37.189999,37.189999,37.189999,37.189999,34.451801,0
2016-01-13,36.660000,36.660000,36.660000,36.660000,33.960827,0
2016-01-14,37.990002,37.990002,37.990002,37.990002,35.192902,0
2016-01-15,36.820000,36.820000,36.820000,36.820000,34.109047,0
2016-01-19,36.029999,36.029999,36.029999,36.029999,33.377209,0
2016-01-20,35.259998,35.259998,35.259998,35.259998,32.663902,0
2016-01-21,36.480000,36.480000,36.480000,36.480000,33.794075,0
2016-01-22,37.990002,37.990002,37.990002,37.990002,35.192902,0
2016-01-25,36.439999,36.439999,36.439999,36.439999,33.757023,0
2016-01-26,37.950001,37.950001,37.950001,37.950001,35.155846,0
2016-01-27,38.049999,38.049999,38.049999,38.049999,35.248486,0
2016-01-28,39.320000,39.320000,39.320000,39.320000,36.424973,0
2016-01-29,40.439999,40.439999,40.439999,40.439999,37.462513,0
2016-02-01,39.660000,39.660000,39.660000,39.660000,36.739944,0
2016-02-02,38.279999,38.279999,38.279999,38.279999,35.461548,0
2016-02-03,39.790001,39.790001,39.790001,39.790001,36.860374,0
2016-02-04,39.980000,39.980000,39.980000,39.980000,37.036381,0
2016-02-05,39.220001,39.220001,39.220001,39.220001,36.332336,0
2016-02-08,38.970001,38.970001,38.970001,38.970001,36.100746,0
2016-02-09,37.810001,37.810001,37.810001,37.810001,35.026150,0
2016-02-10,37.570000,37.570000,37.570000,37.570000,34.803822,0
2016-02-11,37.299999,37.299999,37.299999,37.299999,34.553703,0
2016-02-12,38.320000,38.320000,38.320000,38.320000,35.498608,0
2016-02-16,38.639999,38.639999,38.639999,38.639999,35.795040,0
2016-02-17,40.020000,40.020000,40.020000,40.020000,37.073437,0
2016-02-18,39.549999,39.549999,39.549999,39.549999,36.638042,0
2016-02-19,39.310001,39.310001,39.310001,39.310001,36.415710,0
2016-02-22,40.299999,40.299999,40.299999,40.299999,37.332825,0
2016-02-23,38.860001,38.860001,38.860001,38.860001,35.998844,0
2016-02-24,39.119999,39.119999,39.119999,39.119999,36.239704,0
2016-02-25,39.259998,39.259998,39.259998,39.259998,36.369392,0
2016-02-26,39.639999,39.639999,39.639999,39.639999,36.721420,0
2016-02-29,39.419998,39.419998,39.419998,39.419998,36.517612,0
2016-03-01,40.400002,40.400002,40.400002,40.400002,37.425457,0
2016-03-02,41.410000,41.410000,41.410000,41.410000,38.361095,0
2016-03-03,42.110001,42.110001,42.110001,42.110001,39.009556,0
2016-03-04,42.689999,42.689999,42.689999,42.689999,39.546852,0
2016-03-07,43.549999,43.549999,43.549999,43.549999,40.343533,0
2016-03-08,41.889999,41.889999,41.889999,41.889999,38.805748,0
2016-03-09,42.619999,42.619999,42.619999,42.619999,39.482006,0
2016-03-10,42.590000,42.590000,42.590000,42.590000,39.454212,0
2016-03-11,43.779999,43.779999,43.779999,43.779999,40.556595,0
2016-03-14,43.490002,43.490002,43.490002,43.490002,40.287960,0
2016-03-15,43.389999,43.389999,43.389999,43.389999,40.195313,0
2016-03-16,44.290001,44.290001,44.290001,44.290001,41.029049,0
2016-03-17,45.070000,45.070000,45.070000,45.070000,41.751617,0
2016-03-18,44.990002,44.990002,44.990002,44.990002,41.677513,0
2016-03-21,44.790001,44.790001,44.790001,44.790001,41.492237,0
2016-03-22,44.619999,44.619999,44.619999,44.619999,41.334751,0
2016-03-23,43.549999,43.549999,43.549999,43.549999,40.343533,0
2016-03-24,43.790001,43.790001,43.790001,43.790001,40.565857,0
2016-03-28,43.639999,43.639999,43.639999,43.639999,40.426907,0
2016-03-29,43.910000,43.910000,43.910000,43.910000,40.677029,0
2016-03-30,44.270000,44.270000,44.270000,44.270000,41.010521,0
2016-03-31,44.279999,44.279999,44.279999,44.279999,41.019783,0
2016-04-01,43.660000,43.660000,43.660000,43.660000,40.445431,0
2016-04-04,43.250000,43.250000,43.250000,43.250000,40.065620,0
2016-04-05,42.860001,42.860001,42.860001,42.860001,39.704330,0
2016-04-06,43.799999,43.799999,43.799999,43.799999,40.575127,0
2016-04-07,43.560001,43.560001,43.560001,43.560001,40.352798,0
2016-04-08,44.709999,44.709999,44.709999,44.709999,41.418125,0
2016-04-11,44.720001,44.720001,44.720001,44.720001,41.427391,0
2016-04-12,46.169998,46.169998,46.169998,46.169998,42.770626,0
2016-04-13,46.259998,46.259998,46.259998,46.259998,42.854000,0
2016-04-14,46.360001,46.360001,46.360001,46.360001,42.946636,0
2016-04-15,45.740002,45.740002,45.740002,45.740002,42.372288,0
2016-04-18,46.369999,46.369999,46.369999,46.369999,42.955902,0
2016-04-19,47.439999,47.439999,47.439999,47.439999,43.947124,0
2016-04-20,47.779999,47.779999,47.779999,47.779999,44.262089,0
2016-04-21,47.480000,47.480000,47.480000,47.480000,43.984177,0
2016-04-22,48.130001,48.130001,48.130001,48.130001,44.586319,0
2016-04-25,47.529999,47.529999,47.529999,47.529999,44.030495,0
2016-04-26,48.480000,48.480000,48.480000,48.480000,44.910549,0
2016-04-27,49.279999,49.279999,49.279999,49.279999,45.651646,0
2016-04-28,48.700001,48.700001,48.700001,48.700001,45.114353,0
2016-04-29,48.730000,48.730000,48.730000,48.730000,45.142143,0
2016-05-02,48.669998,48.669998,48.669998,48.669998,45.086559,0
2016-05-03,47.259998,47.259998,47.259998,47.259998,43.780376,0
2016-05-04,46.580002,46.580002,46.580002,46.580002,43.150444,0
2016-05-05,47.009998,47.009998,47.009998,47.009998,43.548782,0
2016-05-06,46.869999,46.869999,46.869999,46.869999,43.419086,0
2016-05-09,46.250000,46.250000,46.250000,46.250000,42.844738,0
2016-05-10,47.150002,47.150002,47.150002,47.150002,43.678478,0
2016-05-11,47.320000,47.320000,47.320000,47.320000,43.835957,0
2016-05-12,47.570000,47.570000,47.570000,47.570000,44.067554,0
2016-05-13,46.889999,46.889999,46.889999,46.889999,43.437622,0
2016-05-16,47.779999,47.779999,47.779999,47.779999,44.262089,0
2016-05-17,47.980000,47.980000,47.980000,47.980000,44.447365,0
2016-05-18,47.410000,47.410000,47.410000,47.410000,43.919334,0
2016-05-19,47.220001,47.220001,47.220001,47.220001,43.743320,0
2016-05-20,47.490002,47.490002,47.490002,47.490002,43.993443,0
2016-05-23,47.259998,47.259998,47.259998,47.259998,43.780376,0
2016-05-24,47.529999,47.529999,47.529999,47.529999,44.030495,0
2016-05-25,48.450001,48.450001,48.450001,48.450001,44.882763,0
2016-05-26,48.389999,48.389999,48.389999,48.389999,44.827175,0
2016-05-27,48.340000,48.340000,48.340000,48.340000,44.780861,0
2016-05-31,48.060001,48.060001,48.060001,48.060001,44.521481,0
2016-06-01,48.099998,48.099998,48.099998,48.099998,44.558529,0
2016-06-02,48.080002,48.080002,48.080002,48.080002,44.540005,0
2016-06-03,48.060001,48.060001,48.060001,48.060001,44.521481,0
2016-06-06,48.990002,48.990002,48.990002,48.990002,45.383003,0
2016-06-07,50.209999,50.209999,50.209999,50.209999,46.513172,0
2016-06-08,50.299999,50.299999,50.299999,50.299999,46.596546,0
2016-06-09,50.000000,50.000000,50.000000,50.000000,46.318638,0
2016-06-10,48.709999,48.709999,48.709999,48.709999,45.123615,0
2016-06-13,48.400002,48.400002,48.400002,48.400002,44.836441,0
2016-06-14,48.279999,48.279999,48.279999,48.279999,44.725273,0
2016-06-15,48.209999,48.209999,48.209999,48.209999,44.660427,0
2016-06-16,47.750000,47.750000,47.750000,47.750000,44.234303,0
2016-06-17,48.520000,48.520000,48.520000,48.520000,44.947609,0
2016-06-20,49.119999,49.119999,49.119999,49.119999,45.503429,0
2016-06-21,49.750000,49.750000,49.750000,49.750000,46.087040,0
2016-06-22,49.529999,49.529999,49.529999,49.529999,45.883240,0
2016-06-23,50.490002,50.490002,50.490002,50.490002,46.772564,0
2016-06-24,48.250000,48.250000,48.250000,48.250000,44.697487,0
